CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2008hv,5,0.01375,0.00085,0.0136,7e-05,0.01255,7e-05,14.5153,0.231206,33.7683,0.232778,-9.0,0,0,-0.107777,0.022582,-1.24313,0.033436,14.4601,0.0281614,0.0295083,0.000765376,-0.000175484,2.83014e-06,-1.28583e-05,136.892,3.3923,-999,-999,-9.0,-42.963,250,0.0274359,10.5379,0.19,54817.5,0.0337,72,66.4165,0.66346,0.0538,0.1352,0.0423,0.001,1.0,0.003
1289555,10,0.56181,0.0014,0.56174,0.0005,0.56289,0.0005,23.0407,0.226224,42.2937,0.227829,-9.0,0,0,-0.144062,0.045822,0.14733,0.44201,22.7082,0.0503511,1.48161e-05,6.87098e-07,0.00243648,-8.37159e-08,-1.32607e-08,40.7331,-1.3929,-999,-999,0.27,-13.4764,250,0.0291363,9.278,0.1075,57275.6,0.8833,73,69.7716,0.58543,0.1463,0.0066,0.0823,0.005,1.0,0.002
17208,1,0.14104,0.00509,0.14084,0.005,0.1422,0.005,20.0305,0.201715,39.2835,0.203514,-9.0,0,0,-0.071594,0.030062,0.86472,0.38887,19.7308,0.0532498,0.000229969,1.12788e-05,0.00160854,-7.16082e-07,-1.87724e-07,1.4916,1.1031,-9,-9,0.611,-52.1075,250,0.0269327,11.5,0.202,54342.0,0.0376,35,21.5153,0.96409,0.0942,0.0835,-0.0031,0.001,1.0,0.004
490008,15,0.12086,0.01004,0.12067,0.01,0.12,0.01,19.3818,0.30142,38.6348,0.302627,-9.0,0,1,-0.099903,0.02619,0.35309,0.10465,19.1035,0.0353142,0.00040984,1.33303e-05,0.000356043,-4.63714e-07,-2.94539e-07,131.449,44.4206,-999,-999,19.4115,-51.5834,250,0.0232605,8.89488,0.429,56362.6,0.1043,23,25.0514,0.34764,0.0574,0.1907,0.0303,0.002,1.0,0.005
480064,15,0.24284,0.00144,0.24271,0.001,0.242,0.001,21.3204,0.257709,40.5734,0.259119,-9.0,0,0,0.073571,0.029196,0.48439,0.24562,21.5668,0.041156,4.23933e-05,1.60697e-06,0.00125046,-1.32004e-07,-3.95545e-08,128.796,44.4482,-999,-999,22.2229,-30.1347,250,0.0250072,8.867,0.462,56325.3,0.244,40,42.0266,0.38316,0.0702,0.0143,0.0379,0.004,1.0,0.025
15356,1,0.27351,0.00107,0.2734,0.0001,0.27493,0.0001,21.2191,0.206932,40.4721,0.208686,-9.0,0,0,-0.017309,0.047817,-0.662822,0.50693,21.204,0.0537294,5.92103e-05,2.93012e-06,0.00320459,-5.60915e-07,-7.4309e-08,335.053,0.4099,-9,-9,0.041,-24.3597,250,0.055512,10.743,0.166,54029.1,0.4861,38,41.2241,0.33145,0.1492,0.0095,-0.1118,0.003,0.89,0.0
05D4cw,4,0.37353,0.00152,0.37351,0.001,0.375,0.001,22.0584,0.13027,41.3114,0.133039,-9.0,0,0,-0.133616,0.02461,-0.841889,0.10283,21.8814,0.0278351,3.17289e-05,8.13437e-07,-0.000144119,-1.02237e-08,-1.47917e-08,333.709,-17.7388,-999,-999,-9.0,-4.8316,250,0.0219016,10.503,0.0725,53580.4,0.1636,49,79.4053,0.00387586,0.0657,0.0102,0.0595,0.005,1.0,0.003
2013E,56,0.01016,0.00085,0.01042,8e-05,0.00936,8e-05,13.5264,0.3475,32.7794,0.348547,-9.0,0,0,0.008178,0.04886,0.35982,0.25323,13.5008,0.0676757,0.0713988,0.0044504,0.00168994,-0.000238563,-0.000145729,150.023,-34.2337,-999,-999,-9.0,77.0649,250,0.0840917,10.5748,0.0,56309.1,0.1662,12,21.0104,0.0502276,0.1209,0.1826,-0.0502,0.001,1.0,0.007
2008go,51,0.06137,0.0009,0.06116,0.00015,0.06227,0.00015,17.7078,0.194277,36.9608,0.196145,-9.0,0,0,-0.006665,0.035208,-0.812736,0.47805,17.796,0.0419462,0.00136642,5.27902e-05,0.00142536,-9.06123e-06,-1.37496e-06,332.687,-20.7881,-999,-999,-9.0,-60.2294,250,0.032173,10.7539,-9.0,54766.0,0.8675,14,9.19944,0.81807,0.1125,0.0328,-0.0635,0.004,1.0,0.004
1253039,10,0.45346,0.00514,0.45347,0.005,0.454,0.005,22.6333,0.141558,41.8863,0.14411,-9.0,0,0,-0.107621,0.027865,0.30168,0.2629,22.3229,0.0311452,2.11275e-05,6.0606e-07,0.00150037,-6.63646e-08,-1.0272e-08,54.4186,-27.5274,-999,-999,-9.0,3.6033,250,0.00968606,10.795,0.1395,56574.9,0.289,73,65.3411,0.72634,0.083,0.0292,0.0145,0.002,1.0,0.002
