CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
1335694,10,0.25923,0.00511,0.25912,0.005,0.26,0.005,21.1725,0.16069,40.4255,0.162943,-9.0,0,0,-0.034521,0.031667,0.99679,0.2252,20.9447,0.042554,7.51809e-05,2.94662e-06,0.00110485,-2.3138e-07,-7.28716e-08,42.845,-0.6485,-999,-999,-9.0,-25.6258,250,0.0452041,10.969,1.111,57347.8,0.2004,21,17.3777,0.68797,0.0786,0.0477,-0.0264,0.001,1.0,0.004
03D4cz,4,0.69318,0.00173,0.69316,0.001,0.695,0.001,23.6632,0.316876,42.9162,0.318024,-9.0,0,0,-0.068748,0.084254,-1.76537,0.36781,23.7601,0.0468212,5.62308e-06,2.42489e-07,0.00657405,-5.50191e-08,-3.67144e-09,334.174,-17.9263,-999,-999,-9.0,-2.916,250,0.0245404,10.389,0.245,52894.6,0.413,26,26.4066,0.44094,0.2593,0.0068,-0.0034,0.005,0.708,0.0
2006bt,5,0.03121,0.00086,0.03241,1e-05,0.03208,1e-05,16.4898,0.225151,35.7428,0.226764,-9.0,0,0,0.083887,0.022449,0.22867,0.042043,16.6678,0.035106,0.00386256,0.000124891,-0.000260667,9.6557e-07,-2.21729e-06,239.127,20.046,-999,-999,-9.0,349.34,250,0.0430539,10.8988,0.04,53859.1,0.0614,37,396.488,0.0,0.0489,0.0608,-0.1,0.002,1.0,0.015
2009aa,5,0.02819,0.00088,0.02827,0.00018,0.02705,0.00018,16.0644,0.171301,35.3174,0.173415,-9.0,0,1,-0.080131,0.021855,-0.776049,0.027635,16.0179,0.0281524,0.007028,0.000182231,-0.00014077,6.16517e-07,-2.98171e-06,170.926,-22.2707,-999,-999,-9.0,25.3172,250,0.0292082,9.29935,0.02,54879.0,0.028,72,51.4399,0.96809,0.0513,0.0687,0.0344,0.003,1.0,0.006
2001bf,63,0.01581,0.00086,0.01556,0.00013,0.01587,0.00013,14.6474,0.217323,33.9004,0.218994,-9.0,0,0,-0.018974,0.030349,0.53614,0.082308,14.5214,0.0641116,0.0278892,0.00164683,-0.000351421,2.0025e-05,-3.89778e-05,270.392,26.2506,-999,-999,-9.0,-72.364,250,0.0849594,10.1288,3.809,52046.8,0.2282,19,63.7809,9.62139e-07,0.0614,0.119,-0.0406,0.001,1.0,0.004
17884,1,0.23789,0.00103,0.23776,2e-05,0.23893,2e-05,20.9787,0.170143,40.2317,0.172272,-9.0,0,0,-0.123607,0.036952,0.7009,0.28536,20.6,0.0420054,0.000103278,3.99566e-06,0.00104276,-5.94992e-07,-8.93368e-08,27.5998,1.1721,-9,-9,2.091,-33.0914,250,0.0193314,10.453,0.083,54369.0,0.275,46,30.2306,0.96484,0.1089,0.0104,0.0545,0.003,1.0,0.001
1308314,10,0.40646,0.00514,0.40648,0.005,0.407,0.005,22.4384,0.166642,41.6914,0.168815,-9.0,0,0,-0.056722,0.02876,-0.022674,0.27399,22.3186,0.0344198,2.12111e-05,6.72431e-07,0.00184289,-8.38127e-08,-1.41665e-08,53.4156,-28.9407,-999,-999,0.74,4.7308,250,0.0067592,7.522,0.1385,56977.7,0.3574,60,61.6305,0.4175,0.0795,0.0321,-0.0002,0.002,1.0,0.006
20106,1,0.33147,0.00122,0.33137,0.0005,0.333,0.0005,21.9805,0.284201,41.2335,0.285481,-9.0,0,0,-0.106083,0.069535,-1.04485,0.76361,21.7933,0.083189,3.4409e-05,2.63641e-06,0.0145264,-1.25857e-06,-5.73878e-08,346.554,0.329,-9,-9,0.564,-23.214,250,0.037183,10.277,0.198,54404.1,0.823,36,22.4489,0.96215,0.2312,0.0091,-0.0657,0.008,0.659,0.0
2006ax,5,0.01747,0.00086,0.01774,0.00015,0.01649,0.00015,15.0603,0.195968,34.3133,0.19782,-9.0,0,0,-0.127493,0.021595,0.16897,0.023629,14.7505,0.0344419,0.022585,0.000716445,-0.000158055,2.85077e-06,-1.0893e-05,171.014,-12.2914,-999,-999,-9.0,81.232,250,0.0432401,10.997,0.02,53828.0,0.0232,82,129.041,0.000710816,0.0502,0.1078,0.0569,0.001,1.0,0.003
2007ca,64,0.01442,0.00085,0.01509,1e-05,0.01406,1e-05,14.999,0.396317,34.252,0.397235,-9.0,0,0,0.20709,0.028143,0.54711,0.068245,15.7066,0.0481701,0.00936184,0.000415351,-0.000231063,1.15476e-06,-9.54197e-06,202.774,-15.1018,-999,-999,-9.0,197.318,250,0.0574767,9.44451,4.356,54227.8,0.0777,33,75.4,3.65903e-05,0.0576,0.1289,0.0956,0.016,1.0,0.051
ASASSN-16hz,150,0.02466,0.00087,0.02406,0.00015,0.02531,0.00015,15.5582,0.316446,34.8112,0.317595,-9.0,0,1,0.09128,0.034225,-0.271228,0.12153,15.9978,0.0471584,0.00715947,0.000310968,-0.000462661,5.51552e-06,-8.66567e-06,348.94,-1.3396,-999,-999,-9.0,-175.764,250,0.0311734,9.55271,0.002,57605.3,0.4073,8,8.6616,0.37164,0.0761,0.0775,0.0649,0.003,1.0,0.032
310260,15,0.51885,0.01008,0.51879,0.01,0.52,0.01,22.9294,0.207812,42.1824,0.209558,-9.0,0,0,-0.060652,0.050889,-0.019798,0.54321,22.7142,0.0453579,1.47333e-05,6.155e-07,0.00565312,-1.80268e-07,-9.7423e-09,36.1689,-5.1043,-999,-999,23.1388,-12.9231,250,0.0231623,8.7967,0.1,55828.6,0.756,61,69.7368,0.2073,0.1685,0.0509,-0.0829,0.005,0.642,0.0
2005de,57,0.01519,0.00085,0.01495,6e-05,0.01526,6e-05,14.9263,0.2654,34.1793,0.26677,-9.0,0,0,0.01664,0.025111,-0.493131,0.032844,15.1241,0.0611976,0.0160089,0.000902345,-9.28056e-05,2.78894e-06,-1.87479e-05,270.597,26.0521,-999,-999,-9.0,-72.364,250,0.0875271,7.0,-9.0,53598.8,0.0267,95,159.071,4.20987e-05,0.0443,0.1224,0.0212,0.003,1.0,0.016
000199,15,0.37153,0.00152,0.3716,0.001,0.37,0.001,22.1312,0.11347,41.3842,0.116639,-9.0,0,0,-0.110945,0.024467,0.89801,0.2289,21.7392,0.0286802,3.61669e-05,9.55364e-07,0.000603607,-4.84859e-08,-1.76267e-08,151.231,2.5909,-999,-999,23.5326,15.7583,250,0.0260279,10.475,0.379,55214.5,0.2572,50,42.0117,0.78177,0.0686,0.0103,0.0312,0.002,1.0,0.001
2001az,63,0.04101,0.00087,0.04059,9e-05,0.04069,9e-05,17.0623,0.148357,36.3153,0.150794,-9.0,0,1,-0.081271,0.029423,1.11507,0.40795,16.7018,0.0480562,0.00374357,0.000165696,0.00153605,1.58741e-05,-3.40658e-06,248.615,76.0297,-999,-999,-9.0,-120.833,250,0.043583,10.239,0.059,52031.2,0.8186,14,9.76209,0.77936,0.0731,0.047,0.0029,0.001,1.0,0.003
2007fb,65,0.01733,0.00085,0.0168,1e-05,0.01803,1e-05,15.2571,0.229657,34.5101,0.231239,-9.0,0,0,-0.119162,0.032271,-1.64181,0.20852,15.259,0.051662,0.0141389,0.000672764,2.49124e-05,-1.15617e-05,-1.47965e-05,359.218,5.5088,-999,-999,-9.0,-156.633,250,0.047768,9.6287,3.866,54288.1,0.0116,17,31.7594,0.0161175,0.0824,0.1074,0.0757,0.004,1.0,0.005
ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,14.3179,0.313698,33.5709,0.314858,-9.0,0,0,-0.031719,0.042517,-1.97973,0.15325,14.6019,0.0491948,0.0258962,0.00117336,1.99995e-05,-5.54312e-05,-4.22351e-05,339.247,-25.232,-999,-999,-9.0,-166.92,250,0.0203573,8.01649,0.013,57629.9,0.2221,8,25.7163,0.00117435,0.0997,0.1673,0.0376,0.004,1.0,0.008
2006et,64,0.02183,0.00086,0.0214,0.00015,0.0224,0.00015,15.5053,0.282159,34.7583,0.283448,-9.0,0,0,0.12001,0.028977,0.78862,0.14383,15.7073,0.0344991,0.00935598,0.000297285,-3.28274e-05,-7.64881e-06,-1.17646e-06,10.6909,-23.5584,-999,-999,-9.0,-126.054,250,0.0164841,10.1464,3.211,53994.5,0.2081,22,21.4338,0.49408,0.0955,0.0865,-0.1052,0.002,1.0,0.019
1992bs,50,0.06372,0.0009,0.0637,0.00015,0.06405,0.00015,18.0987,0.204745,37.3517,0.206518,-9.0,0,1,-0.046839,0.048183,-0.254896,0.12543,18.0085,0.0409461,0.00112357,4.23728e-05,-0.00107221,1.62982e-06,-1.49697e-06,52.3749,-37.2718,-999,-999,-9.0,-4.4741,250,0.0104577,10.5104,0.28089,48986.0,0.4364,29,30.918,0.3693,0.1257,0.0316,-0.0354,0.003,1.0,0.003
rutledge,106,1.61505,0.00545,1.61499,0.005,1.61399,0.005,25.9065,0.331927,45.1595,0.333024,-9.0,0,0,0.063905,0.043928,0.94408,1.08966,25.9969,0.0689133,7.16551e-07,4.54805e-08,0.0102656,-3.35342e-08,-1.37043e-09,215.2,53.0728,-999,-999,-9.0,-6.8872,250,0.00905251,10.0,-9.0,56456.5,1.7256,8,2.92493,0.93898,0.223,0.0106,-0.0203,0.005,1.0,0.002
05D1ke,4,0.68872,0.0101,0.68867,0.01,0.69,0.01,23.5607,0.224893,42.8137,0.226508,-9.0,0,0,-0.111381,0.049117,0.21014,0.2579,23.3282,0.0268484,8.37025e-06,2.06982e-07,0.00125156,-1.22031e-08,-3.76389e-09,36.6929,-4.8625,-999,-999,-9.0,-10.3943,250,0.0200905,8.851,0.3325,53731.3,0.3466,13,19.7924,0.10051,0.1516,0.04,0.0905,0.002,0.941,0.0
19023,1,0.2441,0.00511,0.24405,0.005,0.2452,0.005,21.0426,0.241308,40.2956,0.242814,-9.0,0,0,-0.12542,0.041781,1.61576,0.50206,20.6065,0.0749791,0.000102656,7.08922e-06,0.0017876,-8.54144e-07,-1.88131e-07,307.117,0.0062,-9,-9,-9.0,-14.362,250,0.12503,7.0,-9.0,54389.2,0.5691,35,19.9887,0.98033,0.1293,0.0504,0.1377,0.011,1.0,0.003
15161,1,0.24865,0.00104,0.24853,4e-05,0.24956,4e-05,21.0726,0.176269,40.3256,0.178325,-9.0,0,0,-0.05098,0.041881,-0.242653,0.32146,20.9511,0.046844,7.47422e-05,3.22474e-06,0.00178674,-2.70026e-07,-8.0443e-08,35.8429,0.819,-9,-9,1.157,-29.8694,250,0.0299176,11.065,0.068,54025.3,0.3722,41,44.3344,0.3329,0.1171,0.0101,-0.0521,0.002,1.0,0.001
470043,15,0.0709,0.01004,0.07061,0.01,0.07,0.01,18.4761,0.5011,37.7291,0.501827,-9.0,0,0,-9.4e-05,0.03351,0.45622,0.12587,18.4783,0.0401503,0.000728894,2.69543e-05,9.02873e-05,-1.01377e-06,-7.35628e-07,128.994,44.7675,-999,-999,24.2834,-79.7204,250,0.0267871,7.0,7.899,56313.8,0.0956,14,22.3559,0.0715904,0.0793,0.318,0.0174,0.003,1.0,0.014
AT2017cfb,150,0.02266,0.00085,0.02382,1e-05,0.0229,1e-05,15.5908,0.218888,34.8438,0.220547,-9.0,0,0,-0.076928,0.033144,0.9422,0.1487,15.3027,0.0410039,0.0135806,0.000512886,-0.000345163,-4.55409e-06,-1.41473e-05,208.528,9.4128,-999,-999,-9.0,339.032,250,0.028389,8.97146,0.013,57836.8,0.2723,7,7.70642,0.35919,0.0781,0.0824,0.0364,0.001,1.0,0.006
14261,1,0.28446,0.00107,0.28436,2e-05,0.28585,2e-05,21.2901,0.184598,40.5431,0.186562,-9.0,0,0,-0.033232,0.044696,0.67229,0.48056,21.1194,0.0673244,6.40106e-05,3.96917e-06,0.00639423,-1.1154e-06,-1.15364e-07,328.24,0.2538,-9,-9,0.415,-21.2863,250,0.0804935,9.135,0.076,54018.9,0.3825,68,45.8103,0.98223,0.1287,0.0092,-0.0212,0.006,0.92,0.0
340334,15,0.30681,0.00148,0.30668,0.001,0.306,0.001,21.907,0.237566,41.16,0.239095,-9.0,0,0,-0.106362,0.046016,-0.293107,0.53544,21.6995,0.0576557,3.75147e-05,1.99214e-06,-0.000328352,-1.39128e-07,-5.41315e-08,163.263,57.8064,-999,-999,-9.0,-28.1379,250,0.00590469,7.0,-9.0,55913.3,1.3289,30,29.3269,0.50048,0.148,0.0119,0.0258,0.002,1.0,0.005
1992A,50,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,12.087,0.561941,31.34,0.562589,-9.0,0,0,-0.029989,0.024923,-1.67481,0.037983,12.2736,0.0297443,0.22108,0.00605662,-6.61605e-05,2.23416e-06,-6.54085e-05,54.1142,-34.9587,-999,-999,-9.0,-67.5086,250,0.0146544,11.5,-9.0,48640.9,0.0404,107,113.994,0.30383,0.0702,0.3831,-0.0201,0.001,1.0,0.004
380378,15,0.27141,0.00146,0.27129,0.001,0.2708,0.001,21.3147,0.120414,40.5677,0.123404,-9.0,0,0,-0.139588,0.02573,0.51938,0.17632,20.9056,0.0345156,7.79406e-05,2.47773e-06,0.000821608,-1.95801e-07,-5.13577e-08,213.525,53.4648,-999,-999,19.2978,-26.5618,250,0.00916565,10.364,0.514,56052.7,0.155,40,39.1268,0.50941,0.0637,0.0131,0.0467,0.002,1.0,0.003
ASASSN-16hh,18,0.02978,0.00086,0.02935,9e-05,0.03026,9e-05,16.2485,0.188445,35.5015,0.190369,-9.0,0,1,-0.087344,0.040541,0.84206,0.40743,15.9408,0.0842387,0.00754542,0.000585424,0.00693856,-8.61215e-05,-1.9335e-05,31.1559,21.5861,-999,-999,-9.0,-126.591,250,0.10965,7.0,-9.0,57592.2,0.2521,26,15.0604,0.95622,0.0809,0.0636,0.0342,0.002,1.0,0.006
2019np,150,0.00648,0.00084,0.0055,0.0,0.00452,0.0,13.1808,0.321157,32.4338,0.32229,32.3302,1,0,-0.025372,0.029598,0.11384,0.074387,13.1161,0.0358983,0.10176,0.00336454,-0.000187854,-1.25753e-06,-8.78652e-05,157.342,29.5106,-999,-999,-9.0,-289.936,250,0.0172714,10.63,-9.0,58510.4,0.0507,66,66.0811,0.47404,0.0645,0.2824,-0.0219,0.003,1.0,0.004
SN2017jl,150,0.01525,0.00096,0.01529,0.00044,0.01633,0.00044,14.5176,0.300982,33.7706,0.30219,-9.0,0,0,-0.002342,0.034183,0.60274,0.12175,14.5129,0.0557691,0.0281099,0.00144387,8.69178e-05,-1.37209e-05,-3.93881e-05,14.3829,30.1852,-999,-999,-9.0,11.8215,250,0.0632005,8.7366,0.008,57784.9,0.1053,8,5.71435,0.67919,0.0726,0.1377,0.039,0.002,1.0,0.013
2007cq,64,0.0251,0.00086,0.02481,8e-05,0.02604,8e-05,15.5952,0.179903,34.8482,0.181918,-9.0,0,1,-0.061404,0.029805,-0.689247,0.11692,15.5833,0.0661008,0.0104877,0.0006385,2.94163e-05,-1.10993e-06,-1.57203e-05,333.668,5.0803,-999,-999,-9.0,-83.9674,250,0.0934993,9.36898,0.139,54281.0,0.0706,33,54.2139,0.0114048,0.0557,0.0753,0.0239,0.002,1.0,0.006
2006cz,64,0.04268,0.0009,0.04251,0.00021,0.04175,0.00021,16.6608,0.29325,35.9138,0.29449,-9.0,0,0,0.14909,0.037597,1.55722,0.44265,16.8023,0.0581776,0.00341268,0.000182864,-0.00736281,1.96832e-05,-5.3367e-06,222.153,-4.7419,-999,-999,-9.0,-49.9495,250,0.071514,10.8544,3.35,53906.6,1.0494,5,25.717,0.000101249,0.1247,0.0467,-0.1422,0.008,1.0,0.019
15229,1,0.22551,0.00114,0.22536,0.0005,0.2268,0.0005,20.9326,0.19559,40.1856,0.197444,-9.0,0,0,-0.034412,0.037763,0.71495,0.29292,20.7712,0.04017,8.82102e-05,3.2636e-06,0.00101789,-3.64791e-07,-7.63278e-08,4.832,1.0907,-9,-9,0.298,-35.735,250,0.0235401,9.165,0.109,54033.2,0.3068,36,33.0363,0.61031,0.1089,0.0121,-0.0019,0.004,1.0,0.006
04D1kj,4,0.58382,0.00166,0.58375,0.001,0.585,0.001,23.2235,0.196641,42.4765,0.198486,-9.0,0,0,-0.06898,0.028705,0.21618,0.126,23.0717,0.0249334,1.06004e-05,2.43433e-07,-2.19727e-05,-8.23927e-09,-3.8957e-09,36.9694,-4.1803,-999,-999,-9.0,-12.145,250,0.0217778,9.929,0.1075,53297.2,0.1691,46,60.6974,0.0718741,0.0876,0.0076,0.041,0.002,1.0,0.011
510266,15,0.44067,0.01007,0.44059,0.01,0.44,0.01,22.3834,0.157885,41.6364,0.160177,-9.0,0,0,-0.169948,0.033751,-0.476279,0.31795,22.0448,0.0392185,2.72957e-05,9.85963e-07,0.00318253,-2.16346e-07,-4.38194e-08,214.033,51.7321,-999,-999,18.4706,-16.6931,250,0.00987252,11.5,0.111,56430.7,0.3281,60,58.4069,0.53414,0.0964,0.0586,0.0642,0.006,0.891,0.0
05D4bj,4,0.69918,0.00173,0.69916,0.001,0.701,0.001,23.6872,0.337384,42.9402,0.338462,-9.0,0,0,0.064232,0.054972,0.19285,0.29626,23.8349,0.0344688,5.24867e-06,1.66629e-07,0.00131871,-2.52702e-08,-2.73798e-09,333.749,-18.1334,-999,-999,-9.0,-2.7401,250,0.0241276,9.265,0.0965,53564.0,0.3486,42,52.1842,0.13486,0.1741,0.0068,-0.0749,0.005,1.0,0.017
05D3mq,4,0.2466,0.00144,0.24649,0.001,0.246,0.001,21.1377,0.152782,40.3907,0.15515,-9.0,0,0,-0.009672,0.025576,-0.703263,0.16543,21.2325,0.0288841,5.76772e-05,1.5344e-06,0.000573218,-7.55799e-08,-3.24005e-08,214.752,52.3851,-999,-999,-9.0,-27.8154,250,0.00861141,10.723,0.0765,53575.8,0.1515,8,6.47969,0.59366,0.0632,0.0141,-0.0315,0.013,1.0,0.007
2007ci,57,0.02331,0.00085,0.02295,1e-05,0.02184,1e-05,15.3948,0.265593,34.6478,0.266962,-9.0,0,0,-0.044303,0.027136,-2.4632,0.097065,15.66,0.031843,0.00977258,0.000286615,0.000175524,-5.72589e-06,-6.37212e-06,176.441,19.7705,-999,-999,-9.0,-103.556,250,0.022204,10.8379,-9.0,54246.7,0.0778,37,70.3622,0.00076673,0.0625,0.0801,-0.0136,0.001,1.0,0.004
20142,1,0.3127,0.0012,0.31259,0.0005,0.3139,0.0005,21.3709,0.204424,40.6239,0.2062,-9.0,0,0,-0.087714,0.03977,1.27633,0.65075,21.0532,0.0471982,6.80351e-05,2.95757e-06,0.00524123,-1.16877e-06,-6.22647e-08,23.0082,-0.4297,-9,-9,1.012,-25.5244,250,0.0323649,9.365,0.13,54412.3,0.5,40,26.6685,0.94753,0.1464,0.0095,0.0894,0.011,0.771,0.0
17435,1,0.21689,0.00113,0.21674,0.0005,0.218,0.0005,20.8142,0.188459,40.0672,0.190384,-9.0,0,0,-0.107985,0.035136,0.91406,0.25984,20.4548,0.0404613,0.000118057,4.39952e-06,3.73683e-05,-4.3063e-07,-9.89319e-08,20.3446,-0.0148,-9,-9,0.106,-35.4351,250,0.0270065,8.818,0.182,54359.4,0.3042,46,35.5802,0.86656,0.1028,0.0124,0.0569,0.004,1.0,0.005
2006ot,5,0.05202,0.00089,0.05232,0.00015,0.0531,0.00015,17.6149,0.206551,36.8679,0.208308,-9.0,0,1,0.099567,0.02315,0.82077,0.091625,17.7273,0.0254217,0.00145572,3.40846e-05,-0.000368389,6.3544e-07,-6.23376e-07,33.7702,-20.7662,-999,-999,-9.0,85.9349,250,0.0152133,11.3736,0.17,54064.2,0.2449,45,225.36,7.802730000000001e-26,0.0573,0.0381,-0.1268,0.004,1.0,0.014
2004br,57,0.02464,0.00085,0.02426,1e-05,0.02308,1e-05,15.554,0.180451,34.807,0.18246,-9.0,0,0,-0.107568,0.025604,1.00327,0.077989,15.1748,0.0306952,0.015279,0.000431957,-0.000320553,2.82407e-06,-9.3745e-06,187.783,0.6132,-999,-999,-9.0,-110.13,250,0.019729,7.0,-9.0,53148.8,0.1049,52,137.236,1.29235e-09,0.0588,0.0758,0.049,0.003,1.0,0.005
1304442,10,0.22449,0.0051,0.22451,0.005,0.225,0.005,20.8763,0.195353,40.1293,0.19721,-9.0,0,0,-0.10266,0.035537,0.2037,0.2924,20.6259,0.0530027,0.000100839,4.92267e-06,0.00313875,-7.70491e-07,-1.15981e-07,52.1631,-28.1083,-999,-999,0.64,6.3321,250,0.00710053,9.568,0.0135,56965.1,0.2663,5,3.74851,0.58616,0.0936,0.0543,0.0447,0.002,1.0,0.006
ASASSN-15od,150,0.01698,0.00085,0.01678,1e-05,0.0176,1e-05,15.0879,0.226785,34.3409,0.228387,-9.0,0,0,-0.101117,0.035272,-1.11648,0.12954,15.0484,0.0423478,0.0171642,0.000669469,-0.000295421,-4.85478e-06,-1.99293e-05,35.8049,-4.5172,-999,-999,-9.0,-57.138,250,0.0255052,9.51783,0.001,57256.4,0.3173,8,7.74803,0.45846,0.0814,0.1096,0.0561,0.002,1.0,0.005
15508,1,0.13372,0.00095,0.13353,3e-05,0.13461,3e-05,19.5904,0.155367,38.8434,0.157696,-9.0,0,1,-0.059426,0.022423,0.88393,0.10636,19.3537,0.0302434,0.000325471,9.06604e-06,0.000287172,-1.8711e-07,-1.50879e-07,27.169,-0.5766,-9,-9,3.553,-50.2332,250,0.0252201,9.13587,0.068,54041.6,0.0952,42,47.5662,0.25641,0.0532,0.0164,0.0251,0.003,1.0,0.009
Spock,100,0.83981,0.00161,0.83973,0.0005,0.839,0.0005,23.9482,0.389488,43.2012,0.390423,-9.0,0,0,-0.030019,0.072202,0.25173,0.38187,23.8921,0.0950377,4.97943e-06,4.35864e-07,0.000566147,-5.75643e-08,-8.78029e-10,189.277,62.2533,-999,-999,-9.0,-13.4829,250,0.0104992,8.78,0.05,53401.3,0.5596,13,14.3493,0.34971,0.2573,0.0054,0.0214,0.004,1.0,0.008
490007,15,0.05541,0.00088,0.05513,1e-05,0.05439,1e-05,17.6146,0.19249,36.8676,0.194374,-9.0,0,1,-0.026126,0.033123,-0.205706,0.0865,17.6246,0.0393667,0.00160009,5.80161e-05,0.000210095,-1.65238e-06,-1.62078e-06,184.268,46.6275,-999,-999,17.1094,-80.9386,250,0.0157229,9.16275,0.067,56365.7,0.0764,12,12.2048,0.42938,0.0745,0.0354,0.0081,0.005,1.0,0.011
440185,15,0.34949,0.01006,0.34952,0.01,0.35,0.01,21.8996,0.204053,41.1526,0.205831,-9.0,0,0,-0.069932,0.03701,0.19676,0.4476,21.7006,0.0668985,3.74776e-05,2.30921e-06,0.00514961,-3.31146e-07,-5.2694e-08,54.3495,-28.44,-999,-999,-9.0,5.1868,250,0.0102635,7.0,99.0,56199.7,1.1841,35,30.1756,0.70012,0.1049,0.0718,-0.0062,0.001,1.0,0.004
440005,15,0.30548,0.00148,0.30551,0.001,0.306,0.001,21.7511,0.224608,41.0041,0.226225,-9.0,0,0,0.12966,0.040081,0.19459,0.44287,22.0141,0.0530015,2.80771e-05,1.37062e-06,0.00618107,-2.7621e-07,-4.53942e-08,52.9893,-28.8836,-999,-999,19.036,5.8299,250,0.0079084,11.388,0.025,56219.4,0.45,39,21.6234,0.98907,0.0968,0.0119,-0.1616,0.004,1.0,0.013
2006dm,56,0.02228,0.00087,0.02161,0.00015,0.02284,0.00015,15.5704,0.256694,34.8234,0.25811,-9.0,0,0,0.00159,0.049084,-1.7604,0.17003,15.8442,0.0436232,0.00824785,0.000331386,-0.00019067,-1.2604e-05,-1.13871e-05,355.449,-3.669,-999,-999,-9.0,-197.622,250,0.0331738,11.0056,0.002,53929.1,0.1416,26,13.2439,0.98168,0.1302,0.0857,-0.0433,0.001,1.0,0.006
05D3mx,4,0.47065,0.01007,0.47057,0.01,0.47,0.01,22.7605,0.178608,42.0135,0.180637,-9.0,0,0,-0.086917,0.031035,-1.38814,0.10565,22.7669,0.0272552,1.40364e-05,3.52355e-07,0.000176151,-8.25133e-09,-6.10449e-09,215.538,52.2192,-999,-999,-9.0,-16.2357,250,0.0102401,10.788,0.066,53570.0,0.1454,20,25.6495,0.1777,0.0893,0.0553,0.0179,0.003,1.0,0.004
1981B,50,0.00317,0.00084,0.0035,1e-05,0.00236,1e-05,11.5416,0.613941,30.7946,0.614535,30.8338,1,0,-0.005137,0.03061,-0.445048,0.16526,11.6644,0.0335715,0.38748,0.0119811,0.000163537,-0.000145198,-0.000305876,188.623,2.1998,-999,-999,-9.0,97.8762,250,0.0157149,9.686,-9.0,44672.6,0.2973,41,43.226,0.37642,0.0732,0.5763,0.0206,0.007,1.0,0.013
13835,1,0.24617,0.00104,0.24604,1e-05,0.24749,1e-05,21.0943,0.146956,40.3473,0.149416,-9.0,0,0,-0.077608,0.035067,0.63307,0.25333,20.8156,0.0373772,8.46759e-05,2.91502e-06,0.001218,-2.63654e-07,-6.95402e-08,6.0596,-0.2483,-9,-9,3.756,-31.9454,250,0.021606,10.507,0.06,54011.4,0.2733,51,37.4926,0.92078,0.0954,0.0102,0.0023,0.002,1.0,0.001
2012bh,51,0.02517,0.00086,0.025,6e-05,0.02428,6e-05,15.9459,0.236747,35.1989,0.238281,-9.0,0,1,-0.033322,0.045007,-0.412737,0.26293,15.9697,0.0930226,0.00734722,0.000629488,-0.00362827,2.83104e-05,-2.0257e-05,183.406,46.4835,-999,-999,-9.0,-50.8392,250,0.0158608,8.41938,0.003,56016.3,1.8721,2,1.64876,0.43851,0.1144,0.0751,0.0135,0.002,1.0,0.007
13796,1,0.14747,0.00096,0.14729,2e-05,0.1487,2e-05,19.7142,0.169668,38.9672,0.171803,-9.0,0,1,-0.021491,0.022257,0.79596,0.11786,19.5934,0.0330593,0.000261005,7.94728e-06,0.000169035,-1.47162e-07,-1.33949e-07,350.692,0.5329,-9,-9,2.464,-47.1324,250,0.0362902,9.66952,0.055,54010.4,0.1178,65,41.4961,0.98983,0.0527,0.0151,0.0107,0.004,1.0,0.011
330022,15,0.26397,0.00145,0.26386,0.001,0.2649,0.001,21.0505,0.204064,40.3035,0.205843,-9.0,0,0,0.008298,0.046732,-1.2314,0.30299,21.2445,0.063974,5.70431e-05,3.36111e-06,0.00388555,-5.27104e-07,-1.13001e-07,35.3241,-2.9491,-999,-999,19.1237,-24.9341,250,0.0229212,10.979,0.085,55870.2,0.3096,38,64.3817,0.00476945,0.1153,0.0133,-0.0657,0.002,1.0,0.006
000034,15,0.2533,0.00145,0.25319,0.001,0.2542,0.001,21.1158,0.154711,40.3688,0.15705,-9.0,0,0,-0.119666,0.025813,1.00288,0.37069,20.7079,0.0332041,9.35034e-05,2.85953e-06,0.00264972,-3.41361e-07,-5.98879e-08,36.0664,-3.1865,-999,-999,22.7805,-25.3984,250,0.0238955,8.938,0.669,55208.1,0.2975,12,21.2839,0.0463752,0.0715,0.0138,0.0577,0.002,1.0,0.006
2000ca,50,0.02391,0.00088,0.02454,0.0002,0.02361,0.0002,15.6463,0.188406,34.8993,0.190331,-9.0,0,1,-0.11565,0.028209,0.52115,0.071322,15.3237,0.0486377,0.01332,0.000596697,-0.000329163,3.38782e-06,-1.32428e-05,203.846,-34.1603,-999,-999,-9.0,185.438,250,0.0594052,7.0,0.28089,51666.7,0.128,35,56.9625,0.0109105,0.0602,0.0809,0.0595,0.002,1.0,0.005
